,time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-5.172,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-93750.011,-93750.011,-93750.011,-93750.011,-93750.011,-93750.011,-93750.011,-93750.011
2,-5.177,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
3,-5.182,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
4,-5.187,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
5,-5.192,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
6,-5.196,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
7,-5.201,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
8,-5.227,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
9,-5.232,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
10,-5.237,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
11,-5.243,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
12,-5.248,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
13,-5.253,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
14,-5.257,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
15,-5.261,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
16,-5.286,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
17,-5.289,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
18,-5.291,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
19,-5.293,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
20,-5.295,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
21,-5.297,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
22,-5.300,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
23,-5.346,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
24,-5.349,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022
