eeg1,eeg2,eeg3,eeg4,eeg5,time

525.390625, 138.671875, -87.890625, -20.01953125, 0.0, 1622079566.790038
-942.87109375, 46.875, 41.015625, 65.91796875, 0.0, 1622079566.7939444
-380.37109375, 40.0390625, 73.73046875, -35.64453125, 0.0, 1622079566.7978506
-1000.0, 116.69921875, -20.99609375, -127.44140625, 0.0, 1622079566.8017569
-145.5078125, 108.3984375, -56.15234375, -44.921875, 0.0, 1622079566.805663
-830.56640625, -104.4921875, 36.62109375, 114.2578125, 0.0, 1622079566.8095694
80.56640625, -55.17578125, 88.8671875, 18.5546875, 0.0, 1622079566.8134756
-1000.0, 162.59765625, 2.9296875, -153.3203125, 0.0, 1622079566.8173819
-276.85546875, 23.4375, -77.1484375, -76.171875, 0.0, 1622079566.821288
-833.49609375, -120.1171875, -32.71484375, 85.44921875, 0.0, 1622079566.8251944
244.140625, 53.7109375, 40.52734375, 6.8359375, 0.0, 1622079566.8291006
-1000.0, 107.91015625, 21.97265625, -130.859375, 0.0, 1622079566.8330069
-703.61328125, 83.0078125, -65.91796875, -112.3046875, 0.0, 1622079566.836913
935.05859375, 104.00390625, -86.9140625, 14.16015625, 0.0, 1622079566.8408194
606.4453125, 90.33203125, -4.8828125, 54.19921875, 0.0, 1622079566.8447256
-965.33203125, 100.5859375, 18.5546875, -74.70703125, 0.0, 1622079566.8486319
-1000.0, -45.8984375, 6.34765625, -57.6171875, 0.0, 1622079566.852538
285.64453125, -143.06640625, 27.34375, 141.11328125, 0.0, 1622079566.8564444
-867.67578125, 40.52734375, 12.20703125, 114.2578125, 0.0, 1622079566.8603506
-250.48828125, 83.984375, 23.92578125, -53.22265625, 0.0, 1622079566.8642569
-1000.0, -22.94921875, 25.87890625, -52.734375, 0.0, 1622079566.868163
-198.2421875, -22.94921875, -31.73828125, 41.015625, 0.0, 1622079566.8720694
-821.77734375, 82.03125, -54.6875, 67.3828125, 0.0, 1622079566.8759756
215.33203125, 49.31640625, 28.80859375, 1.953125, 0.0, 1622079566.8798819
-1000.0, -29.78515625, 46.875, -41.015625, 0.0, 1622079566.883788
-306.640625, 7.8125, -52.734375, -3.41796875, 0.0, 1622079566.8876944
-825.68359375, 85.9375, -97.16796875, 62.5, 0.0, 1622079566.8916006
